Name,%GC,Common Name,Description,Imported From: Filename,Imported From: Path,Sequence Length,Size,collection_date,country,isolate,isolation_source,lab_host,serotype,strain
A06733,54.9%,,Foot and mouth disease virus (A-24 Cruzeiro) RNA for capsid protein VP-1,VP1.gb,/home/max/Dropbox/FMDV_AMERICA/REPO/DATA/SEQUENCES/data_aquisition,648,5 KB,,,,,,,
A06735,57.1%,,Foot and mouth disease virus (C-3 Indaial) RNA for capsid protein VP-1,VP1.gb,/home/max/Dropbox/FMDV_AMERICA/REPO/DATA/SEQUENCES/data_aquisition,702,5 KB,,,,,,,
A06737,54.0%,,Foot and mouth disease virus (O-1 BFS) RNA for capsid protein VP-1,VP1.gb,/home/max/Dropbox/FMDV_AMERICA/REPO/DATA/SEQUENCES/data_aquisition,711,5 KB,,,,,,,
AB050978,54.1%,FMDV-O,"Foot-and-mouth disease virus O 1D gene for polyprotein, partial cds, capsid protein VP1 region, strain:O/JPN/2000",VP1.gb,/home/max/Dropbox/FMDV_AMERICA/REPO/DATA/SEQUENCES/data_aquisition,639,7 KB,,,,,,,O/JPN/2000
AF204108,55.5%,,"Foot-and-mouth disease virus A22/India/17/77 structural polyprotein mRNA, partial cds, P1-region sequence",VP1.gb,/home/max/Dropbox/FMDV_AMERICA/REPO/DATA/SEQUENCES/data_aquisition,2211,12 KB,,India: West Bengal,,,,,A22/India/17/77
AF204276,54.7%,FMDV-O,"Foot-and-mouth disease virus O strain O/India/R2/75 polyprotein gene, partial cds",VP1.gb,/home/max/Dropbox/FMDV_AMERICA/REPO/DATA/SEQUENCES/data_aquisition,2208,10 KB,,,,,,,O/India/R2/75
AF207520,53.8%,FMDV-Asia1,"Foot-and-mouth disease virus Asia 1 strain Asia1/IND 63/72 polyprotein gene, partial cds",VP1.gb,/home/max/Dropbox/FMDV_AMERICA/REPO/DATA/SEQUENCES/data_aquisition,1413,10 KB,,India: Maharashtra,,,,Asia1,Asia1/IND 63/72
AF283429,54.7%,FMDV-SAT1,"Foot-and-mouth disease virus SAT 1 (KNP/196/91/1) polyprotein mRNA, partial cds",VP1.gb,/home/max/Dropbox/FMDV_AMERICA/REPO/DATA/SEQUENCES/data_aquisition,2238,9 KB,,,KNP/196/91/1,,,,SAT 1
AF283460,56.8%,FMDV-SAT3,"Foot-and-mouth disease virus SAT 3 isolate BEC/1/65/3 polyprotein gene, partial cds",VP1.gb,/home/max/Dropbox/FMDV_AMERICA/REPO/DATA/SEQUENCES/data_aquisition,639,7 KB,,,BEC/1/65/3,,,,
AF283461,57.1%,FMDV-SAT3,"Foot-and-mouth disease virus SAT 3 isolate KNP/10/90/3 polyprotein gene, partial cds",VP1.gb,/home/max/Dropbox/FMDV_AMERICA/REPO/DATA/SEQUENCES/data_aquisition,639,7 KB,,,KNP/10/90/3,,,,
AF286347,54.7%,FMDV-SAT3,"Foot-and-mouth disease virus SAT 3 isolate KNP 10/90/3 polyprotein gene, partial cds",VP1.gb,/home/max/Dropbox/FMDV_AMERICA/REPO/DATA/SEQUENCES/data_aquisition,2217,8 KB,,,KNP 10/90/3,,,,
AF292106,56.3%,FMDV-Asia1,"Foot-and-mouth disease virus Asia 1 polyprotein P1 gene, partial cds",VP1.gb,/home/max/Dropbox/FMDV_AMERICA/REPO/DATA/SEQUENCES/data_aquisition,2196,11 KB,,India: Tamilnadu,IND 63/72,,,Asia 1,
AF367099,56.8%,FMDV-SAT2,"Foot-and-mouth disease virus SAT 2 isolate MAL/3/75 VP1 (1D) gene, partial cds",VP1.gb,/home/max/Dropbox/FMDV_AMERICA/REPO/DATA/SEQUENCES/data_aquisition,648,8 KB,,Malawi,MAL/3/75,,,SAT-2,
AF367100,54.4%,FMDV-SAT2,"Foot-and-mouth disease virus SAT 2 isolate ZAI/1/82 VP1 (1D) gene, partial cds",VP1.gb,/home/max/Dropbox/FMDV_AMERICA/REPO/DATA/SEQUENCES/data_aquisition,648,8 KB,,Democratic Republic of the Congo,ZAI/1/82,,,SAT-2,
AF367101,55.7%,FMDV-SAT2,"Foot-and-mouth disease virus SAT 2 isolate MOZ/4/83 VP1 (1D) gene, partial cds",VP1.gb,/home/max/Dropbox/FMDV_AMERICA/REPO/DATA/SEQUENCES/data_aquisition,648,8 KB,,Mozambique,MOZ/4/83,,,SAT-2,
AF367102,56.0%,FMDV-SAT2,"Foot-and-mouth disease virus SAT 2 isolate PAL/5/83 VP1 (1D) gene, partial cds",VP1.gb,/home/max/Dropbox/FMDV_AMERICA/REPO/DATA/SEQUENCES/data_aquisition,648,8 KB,,South Africa,PAL/5/83,,,SAT-2,
AF367103,55.3%,FMDV-SAT2,"Foot-and-mouth disease virus SAT 2 isolate KNP/7/88 VP1 (1D) gene, partial cds",VP1.gb,/home/max/Dropbox/FMDV_AMERICA/REPO/DATA/SEQUENCES/data_aquisition,648,8 KB,,South Africa,KNP/7/88,,,SAT-2,
