accession,date,country
JQ082960,1955-07-15,Brazil
AJ306222,1955-07-15,Argentina
AJ251476,1955-07-15,Brazil
AY593768,1955-07-15,Brazil
JQ082955,1958-07-15,Brazil
AY593788,1958-07-15,Brazil
AY593753,1958-07-15,Brazil
JQ082961,1959-07-15,Argentina
JQ082956,1959-07-15,Brazil
JQ082957,1959-07-15,Brazil
AY593769,1959-07-15,Argentina
AY593756,1959-07-15,Brazil
AY593789,1961-07-15,Argentina
JQ082958,1962-07-15,Venezuela
JQ082959,1962-07-15,Argentina
AY593767,1965-07-15,Argentina
JQ082962,1966-07-15,Argentina
AY593770,1966-07-15,Argentina
JQ082963,1967-07-15,Colombia
AY593757,1967-07-15,Brazil
AY593771,1967-07-15,Colombia
AY593758,1967-07-15,Venezuela
AJ308694,1968-07-15,Argentina
AY593801,1968-07-15,Uruguay
JQ082964,1969-07-15,Peru
AY593773,1969-07-15,Peru
JQ082965,1970-07-15,Venezuela
JQ082966,1970-07-15,Brazil
EU553882,1970-07-15,Venezuela
AY593775,1970-07-15,Venezuela
AJ306220,1971-07-15,Argentina
AJ308695,1971-07-15,Argentina
JQ082967,1975-07-15,Ecuador
JQ082968,1975-07-15,Peru
AJ409219,1976-07-15,Argentina
EU553851,1976-07-15,Brazil
JQ082969,1976-07-15,Brazil
JQ082970,1976-07-15,Brazil
JQ082971,1976-07-15,Brazil
JQ082972,1976-07-15,Colombia
APHA76,1976-07-15,Venezuela
AY593787,1977-07-15,Brazil
JQ082973,1979-07-15,Ecuador
APHA79,1979-07-15,Venezuela
AY593803,1979-07-15,Brazil
KF112899,1981-07-15,Argentina
JQ082974,1981-07-15,Brazil
AJ306219,1981-07-15,Argentina
JQ082975,1984-07-15,Brazil
JQ082976,1984-07-15,Colombia
JQ082977,1985-07-15,Colombia
AY593794,1985-07-15,Colombia
AJ306221,1987-07-15,Argentina
JQ082978,1989-07-15,Venezuela
AJ308698,1990-07-15,Argentina
AJ308696,1990-07-15,Argentina
AJ308697,1990-07-15,Argentina
AJ308699,1991-07-15,Argentina
AJ308702,1992-07-15,Argentina
AJ308700,1992-07-15,Argentina
AJ308701,1992-07-15,Argentina
JQ082982,1997-07-15,Brazil
JQ082979,1997-07-15,Colombia
JQ082980,1997-07-15,Colombia
JQ082981,1997-07-15,Colombia
JQ082931,1999-07-15,Peru
JQ082915,2000-05-30,Bolivia
AY593782,2000-07-15,Argentina
JQ082930,2000-07-15,Peru
JQ082906,2000-08-15,Argentina
AM179990,2000-08-15,Argentina
AM179989,2000-08-15,Argentina
AM179992,2000-08-15,Argentina
AM179988,2000-08-15,Argentina
AM179991,2000-08-15,Argentina
AM179993,2000-08-15,Argentina
AM179995,2000-09-15,Argentina
AM179996,2000-09-15,Argentina
AM179994,2000-09-15,Argentina
AM179998,2000-10-15,Argentina
AM179997,2000-10-15,Argentina
AM179999,2000-11-15,Argentina
JQ082937,2000-12-09,Venezuela
KX002194,2000-12-31,Argentina
KX002195,2001-02-10,Argentina
KX002196,2001-02-18,Argentina
KX002204,2001-03-07,Argentina
KX002203,2001-03-13,Argentina
JQ082907,2001-03-15,Argentina
JQ082908,2001-03-15,Argentina
JQ082909,2001-03-15,Argentina
AM180007,2001-03-15,Argentina
AM180000,2001-03-15,Argentina
AM180005,2001-03-15,Argentina
AM180008,2001-03-15,Argentina
AM180002,2001-03-15,Argentina
AM180006,2001-03-15,Argentina
AM180001,2001-03-15,Argentina
AM180003,2001-03-15,Argentina
AM180004,2001-03-15,Argentina
KX002178,2001-03-21,Argentina
KX002205,2001-03-27,Argentina
KX002193,2001-03-29,Argentina
AM180009,2001-04-15,Argentina
AM180014,2001-04-15,Argentina
AM180010,2001-04-15,Argentina
AM180012,2001-04-15,Argentina
AM180013,2001-04-15,Argentina
AM180015,2001-04-15,Argentina
AM180011,2001-04-15,Argentina
AM180016,2001-04-15,Argentina
JQ082910,2001-04-15,Uruguay
JQ082911,2001-04-15,Uruguay
KX002198,2001-04-20,Argentina
JQ082916,2001-05-07,Bolivia
JQ082917,2001-05-10,Bolivia
KX002200,2001-05-12,Argentina
KX002201,2001-05-15,Argentina
KX002202,2001-05-15,Argentina
AM180019,2001-05-15,Argentina
AM180017,2001-05-15,Argentina
AM180018,2001-05-15,Argentina
JQ082912,2001-05-15,Brazil
JQ082913,2001-05-15,Brazil
JQ082914,2001-05-15,Brazil
KX002176,2001-05-25,Argentina
KX002177,2001-05-28,Argentina
KX002180,2001-06-03,Argentina
JQ082918,2001-06-07,Bolivia
JQ082932,2001-06-13,Venezuela
AM180020,2001-06-15,Argentina
AM180021,2001-06-15,Argentina
KX002181,2001-06-16,Argentina
KX002182,2001-06-17,Argentina
KX002183,2001-06-17,Argentina
KX002184,2001-07-10,Argentina
AY593802,2001-07-15,Uruguay
AY593783,2001-07-15,Argentina
AY593784,2001-07-15,Argentina
AY593785,2001-07-15,Argentina
AY593786,2001-07-15,Argentina
AY593790,2001-07-15,Argentina
KX002186,2001-07-20,Argentina
JQ082919,2001-07-23,Bolivia
KX002185,2001-08-07,Argentina
JQ082920,2001-08-07,Bolivia
KX002189,2001-08-08,Argentina
KX002188,2001-08-15,Argentina
KX002187,2001-08-21,Argentina
KX002191,2001-10-11,Argentina
AM180022,2001-10-15,Argentina
KX002192,2001-11-15,Argentina
JQ082933,2001-12-15,Venezuela
AM180024,2002-01-15,Argentina
JQ082921,2002-03-30,Bolivia
JQ082929,2002-06-15,Ecuador
JQ082934,2002-11-28,Venezuela
JQ082935,2003-05-14,Venezuela
JQ082936,2003-07-03,Venezuela
JQ082938,2003-12-12,Venezuela
JQ082939,2004-01-23,Venezuela
JQ082940,2004-02-11,Venezuela
JQ082941,2004-03-10,Venezuela
JQ082942,2004-04-01,Venezuela
JQ082943,2004-05-19,Venezuela
JQ082944,2004-07-12,Venezuela
JQ082922,2004-07-15,Colombia
JQ082945,2004-08-13,Venezuela
JQ082946,2004-08-26,Venezuela
JQ082947,2004-09-24,Venezuela
JQ082948,2004-11-18,Venezuela
JQ082949,2005-02-03,Venezuela
JQ082950,2005-04-06,Venezuela
